"title","FigureURL","Frequency"
"Ten Indicators of a Warming World","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/caq-ten-indicators-of-a-warming-world",1
"Ten Indicators of a Warming World","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/ten-indicators-of-a-warming-world",1
"Ten Indicators of a Warming World","http://data.globalchange.gov/report/nca3/chapter/executive-summary/figure/overview-ten-indicators-of-a-warming-world",1
"Emissions Levels Determine Temperature Rises","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/caq-emissions-levels-determine-temperature-rises",1
"Emissions Levels Determine Temperature Rises","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/emissions-levels-determine-temperature-rises",1
"Projected Change in Average Annual Temperature","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-change-in-average-annual-temperature",1
"Projected Change in Average Annual Precipitation","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-change-in-average-annual-precipitation",1
"Observed U.S. Temperature Change","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/observed-us-temperature-change",1
"Projected Temperature Change","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-temperature-change",1
"Projected Temperature Change by 2071-2099 (CMIP5 models)","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-temperature-change-by-20712099-cmip5-models",1
"Observed Increase in Frost-Free Season Length","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/observed-increase-in-frostfree-season-length",1
"Projected Changes in Frost-Free Season Length","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-changes-in-frostfree-season-length",1
"Annual Maximum Precipitation and Changes in Consecutive Dry Days","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/ann-max-precip-cons-dry-day",1
"Projected Precipitation Change by Season","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-precipitation-change-by-season",1
"Newer Simulations for Projected Precipitation Change (CMIP5 models)","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/proj-precip-change",1
"Observed Change in Very Heavy Precipitation","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/observed-change-in-very-heavy-precipitation",1
"Projected Change in Heavy Precipitation Events","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-change-in-heavy-precipitation-events",1
"Projected Change in Heavy Precipitation Events","http://data.globalchange.gov/report/nca3/chapter/human-health/figure/health-projected-change-in-heavy-precipitation-events",1
"Projected Temperature Change of Hottest and Coldest Days","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-temperature-change-of-hottest-and-coldest-days",1
"Projected Changes in Soil Moisture for the Western U.S.","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/projected-changes-in-soil-moisture-for-the-western-us",1
"Observed Trends in Hurricane Power Dissipation","http://data.globalchange.gov/report/nca3/chapter/our-changing-climate/figure/observed-trends-in-hurricane-power-dissipation",1
"Increase in Cooling Demand and Decrease in Heating Demand","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/figure/increase-in-cooling-demand-and-decrease-in-heating-demand",1
"Increasing Numbers of Cooling Degree Days","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/figure/cooling-degree-days",1
"Projected Changes in Seasonal Precipitation","http://data.globalchange.gov/report/nca3/chapter/energy-supply-and-use/figure/projected-changes-in-seasonal-precipitation",1
"Projected Changes in Key Climate Variables Affecting Agricultural Productivity","http://data.globalchange.gov/report/nca3/chapter/agriculture/figure/projected-changes-in-key-climate-variables-affecting-agricultural-productivity",1
"Projected Temperature Change of Hottest Days","http://data.globalchange.gov/report/nca3/chapter/human-health/figure/projected-temperature-change-of-hottest-days",1
"Coast-to-Coast 100-degree Days in 2011","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/figure/coasttocoast-100degree-days-in-2011",1
"Texas Summer 2011: Record Heat and Drought","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/figure/texas-summer-2011-record-heat-and-drought",1
"Hydraulic Fracturing and Water Use","http://data.globalchange.gov/report/nca3/chapter/water-energy-land-use/figure/hydraulic-fracturing-and-water-use",1
"Arctic Marine Food Web","http://data.globalchange.gov/report/nca3/chapter/tribal-indigenous-native-lands-resources/figure/arctic-marine-food-web",1
"Growing Season Lengthens","http://data.globalchange.gov/report/nca3/chapter/rural/figure/growing-season-lengthens",1
"Projected Increases in the Number of Days over 90°F.","http://data.globalchange.gov/report/nca3/chapter/northeast/figure/projected-increases-in-the-number-of-days-over-90f",1
"Billion Dollar Weather/Climate Disasters","http://data.globalchange.gov/report/nca3/chapter/southeast/figure/billion-dollar-weatherclimate-disasters",1
"Projected Change in Number of Days Over 95°F","http://data.globalchange.gov/report/nca3/chapter/southeast/figure/projected-change-in-number-of-days-over-95-f",1
"Projected Change in Number of Nights Below 32°F","http://data.globalchange.gov/report/nca3/chapter/southeast/figure/projected-change-in-number-of-nights-below-32f",1
"Projected Mid-Century Temperature Changes in the Midwest","http://data.globalchange.gov/report/nca3/chapter/midwest/figure/projected-midcentury-temperature-changes-in-the-midwest",1
"When it Rains, it Pours","http://data.globalchange.gov/report/nca3/chapter/midwest/figure/when-it-rains-it-pours",1
"Projected Change in Number of Hot Days","http://data.globalchange.gov/report/nca3/chapter/great-plains/figure/projected-change-in-number-of-hot-days",1
"Projected Change in Number of Warm Nights","http://data.globalchange.gov/report/nca3/chapter/great-plains/figure/projected-change-in-number-of-warm-nights",1
"Projected Change in Number of Heavy Precipitation Days","http://data.globalchange.gov/report/nca3/chapter/great-plains/figure/projected-change-in-number-of-heavy-precipitation-days",1
"Projected Change in Number of Consecutive Dry Days","http://data.globalchange.gov/report/nca3/chapter/great-plains/figure/projected-change-in-number-of-consecutive-dry-days",1
"Days Above 100ºF in Summer 2011","http://data.globalchange.gov/report/nca3/chapter/great-plains/figure/days-above-100f-in-summer-2011",1
"Ocean Impacts of Increased Atmospheric Carbon Dioxide","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/figure/ocean-impacts-of-increased-atmospheric-carbon-dioxide",1
"Projected Sea Level Rise and Flooding by 2050","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/figure/projected-sea-level-rise-and-flooding-by-2050",1
"Short-term Variations Versus Long-term Trend","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/short-term-variations-versus-long-term-trend",1
"Global Temperature Change: Decade Averages","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/global-temperature-change-decade-averages",1
"Observed Change in Global Average Temperature","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/observed-change-in-global-average-temperature",1
"Observed Change in Global Average Temperature","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/caq-observed-change-in-global-average-temperature",1
"Decade-Scale Changes in Average Temperature for U.S. Regions","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/decade-scale-changes-in-average-temperature-for-us-regions",1
"Temperature Trends: Past Century, Past 30+ Years","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/temperature-trends-past-century-past-30-years",1
"Precipitation Trends: Past Century, Past 30+ Years","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/precipitation-trends-past-century-past-30-years",1
"Measurements of Surface Temperature and Sun’s Energy","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/measurements-of-surface-temperature-and-suns-energy",1
"Human Influences Apparent in Many Aspects of the Changing Climate","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/caq-human-influences-apparent-in-many-aspects-of-the-changing-climate",1
"Human Influences Apparent in Many Aspects of the Changing Climate","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/human-influences-apparent-in-many-aspects-of-the-changing-climate",1
"Long-Term Warming and Short-Term Variation","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/longterm-warming-and-shortterm-variation",1
"Detection and Attribution as Forensics","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/detection-and-attribution-as-forensics",1
"Observed and Projected U.S. Temperature Change","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/observed-and-projected-us-temperature-change",1
"Projected Annually-Averaged Temperature C hange","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/projected-annually-averaged-temperature-change",1
"Projected Wintertime Precipitation Changes","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/projected-wintertime-precipitation-changes",1
"Projected Summertime Precipitation Changes","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/projected-summertime-precipitation-changes",1
"Percent of West in Summer Drought","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/percent-of-west-in-summer-drought",1
"Change in Maximum Number of Consecutive Dry Days","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/figure/change-in-maximum-number-of-consecutive-dry-days",1
"Climate Models and Temperature Change","http://data.globalchange.gov/report/nca3/chapter/appendix-faqs/figure/climate-models-and-temperature-change",1
"Heavy Downpours are Increasing Exposure to Disease","http://data.globalchange.gov/report/nca3/chapter/human-health/figure/heavy-downpours-disease",1
"Projected Global Temperature Change","http://data.globalchange.gov/report/nca3/chapter/executive-summary/figure/overview-projected-global-temperature-change",1
